Id,SalePrice
1461,124222.67553103266
1462,143951.80780531486
1463,191724.3339087393
1464,187875.18991970015
1465,196671.15933302286
1466,173122.20984334566
1467,165428.43796690696
1468,172958.54930666232
1469,181703.59746682236
1470,122295.98557761038
1471,188429.1225553174
1472,98917.50380814182
1473,101001.47213035321
1474,144754.68766178717
1475,133527.2497569664
1476,391128.9559443031
1477,249442.244060403
1478,286978.2746309719
1479,257762.46144727257
1480,493805.0943221839
1481,317366.322783635
1482,226875.08136810173
1483,157947.67465290695
1484,171742.70894750278
1485,177297.78324563237
1486,198968.59438833318
1487,306526.10259385355
1488,233114.6480217232
1489,202493.58972732554
1490,205112.18197171862
1491,189859.8971877338
1492,101040.64773579383
1493,167690.74828079034
1494,272229.5241050371
1495,283296.15003596054
1496,236518.24013265249
1497,181479.60221451885
1498,171318.8882537336
1499,168174.0521857772
1500,152216.21529231014
1501,169936.38389624993
1502,159873.937066925
1503,274617.5216335027
1504,235696.89335507955
1505,217395.55599543362
1506,193198.34780038462
1507,240509.99697182557
1508,198011.89783295884
1509,165981.79865349404
1510,141655.1238732127
1511,143086.84645956097
1512,155192.6886368148
1513,131343.92996067283
1514,175549.1965960935
1515,200080.03402499895
1516,151113.032154528
1517,162500.04714014492
1518,122704.3353222778
1519,208340.70102072353
1520,140474.90912965316
1521,142283.6153950828
1522,165068.14367562917
1523,107404.84607140107
1524,117754.03022353142
1525,123746.16309788842
1526,126514.86034358808
1527,99514.66519091478
1528,143164.29518225617
1529,140574.7536756378
1530,170257.77377367998
1531,121920.64129699238
1532,116519.43123987039
1533,112782.49893650506
1534,119288.16914211502
1535,160290.5413794446
1536,107727.40097721906
1537,84064.62855801795
1538,189000.82888922238
1539,205859.54004287708
1540,118212.6146090666
1541,143373.57486899337
1542,170273.49562930953
1543,230037.5664503965
1544,72550.04403850797
1545,118216.26522443659
1546,122930.43177450993
1547,143199.5953711461
1548,131181.67645823443
1549,105147.69456047584
1550,161880.8339617569
1551,129390.20321189662
1552,124360.2699181231
1553,142524.692514464
1554,114578.36074769688
1555,191853.84853121976
1556,123847.58915208839
1557,121240.66246850674
1558,111828.27555992534
1559,108545.25679012883
1560,147737.63428323943
1561,144166.27706492387
1562,123459.62810840893
1563,127686.49168402431
1564,155235.99641389618
1565,139825.4224903223
1566,237382.39146434583
1567,75306.77915575464
1568,223199.80837379317
1569,144608.51082188942
1570,127489.84832883702
1571,131874.58011788086
1572,143453.4400215482
1573,290365.7665118279
1574,114323.82436322962
1575,228996.1635144538
1576,206577.44288724833
1577,195913.0789716835
1578,148343.71530975314
1579,158709.88371634705
1580,200641.53080985585
1581,139749.88505974834
1582,131227.71616805732
1583,298896.0750839832
1584,234973.50767427086
1585,144592.38167206422
1586,82924.87112995976
1587,95245.37893868684
1588,143354.00481770549
1589,90556.77922235285
1590,138027.55982174544
1591,94902.85353259834
1592,132453.15028825522
1593,118597.56837447625
